seq,name,n,cpu_ms,gpu_ms,kind
42,THIRD_APP_CALLDATA#42,4,0.000,11.000,cpu-wins
43,THIRD_APP_CALLDATA_READ_COUNTS#43,4,0.000,12.000,cpu-wins
44,RETURN_DATA#44,2888,1.000,14.000,cpu-wins
45,RETURN_DATA_READ_COUNTS#45,2888,1.000,13.000,cpu-wins
46,LOOKUP_READ_COUNTS#46,3089,1.000,13.000,cpu-wins
47,LOOKUP_READ_TAGS#47,3089,0.000,7.000,cpu-wins
48,W_4#48,33050,24.000,28.000,cpu-wins
49,LOOKUP_INVERSES#49,3089,1.000,9.000,cpu-wins
50,KERNEL_CALLDATA_INVERSES#50,3089,0.000,8.000,cpu-wins
51,FIRST_APP_CALLDATA_INVERSES#51,3089,1.000,13.000,cpu-wins
52,SECOND_APP_CALLDATA_INVERSES#52,3089,0.000,11.000,cpu-wins
53,THIRD_APP_CALLDATA_INVERSES#53,3089,0.000,9.000,cpu-wins
